City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Gravelbourg,CA,2022-04-26 00:22:30,49.8834,-106.5512,283.3,38,40,5.73
67,Bethel,US,2022-04-26 00:22:31,41.3712,-73.414,286.13,51,99,2.58
68,Namibe,AO,2022-04-26 00:22:31,-15.1961,12.1522,295.41,72,12,1.76
69,Mataura,NZ,2022-04-26 00:22:31,-46.1927,168.8643,283.97,71,75,4.05
70,Mahebourg,MU,2022-04-26 00:22:32,-20.4081,57.7,296.31,88,75,2.57
71,Qaanaaq,GL,2022-04-26 00:22:32,77.484,-69.3632,259.96,65,50,2.94
72,Hithadhoo,MV,2022-04-26 00:22:32,-0.6,73.0833,302.04,72,99,2.82
73,Pampierstad,ZA,2022-04-26 00:22:33,-27.7832,24.6877,282.54,48,0,1.43
74,Zyryanka,RU,2022-04-26 00:18:03,65.75,150.85,264.98,85,96,5.62
75,Plettenberg Bay,ZA,2022-04-26 00:22:33,-34.0527,23.3716,285.89,79,0,3.08
76,East London,ZA,2022-04-26 00:20:17,-33.0153,27.9116,289.13,73,9,5.71
77,Tessalit,ML,2022-04-26 00:22:34,20.1986,1.0114,298.09,17,0,3.84
78,Ingham,US,2022-04-26 00:21:13,42.6,-84.3833,284.12,64,100,6.17
79,Henties Bay,NA,2022-04-26 00:22:35,-22.116,14.2845,289.18,76,0,2.41
80,Polyarnyy,RU,2022-04-26 00:22:35,69.1989,33.4478,273.19,75,100,6.64
81,Kapaa,US,2022-04-26 00:20:59,22.0752,-159.319,301.14,80,75,7.2
82,Cherskiy,RU,2022-04-26 00:22:35,68.75,161.3,271.76,69,100,0.78
83,Alofi,NU,2022-04-26 00:22:25,-19.0595,-169.9187,302.09,74,75,5.14
84,Hobart,AU,2022-04-26 00:17:44,-42.8794,147.3294,288.29,85,20,3.6
85,Codrington,AU,2022-04-26 00:22:36,-38.2667,141.9667,292.31,50,99,5.25
86,Salalah,OM,2022-04-26 00:22:36,17.0151,54.0924,300.2,74,40,2.06
87,Praia Da Vitoria,PT,2022-04-26 00:22:37,38.7333,-27.0667,287.29,82,20,3.55
88,Kaeo,NZ,2022-04-26 00:22:37,-35.1,173.7833,295.0,66,19,2.13
89,Yumen,CN,2022-04-26 00:20:49,40.2833,97.2,282.5,11,94,8.65
90,Lisakovsk,KZ,2022-04-26 00:23:38,52.5369,62.4936,283.0,68,100,3.24
91,Tuatapere,NZ,2022-04-26 00:23:38,-46.1333,167.6833,285.81,63,41,3.47
92,Saint George,US,2022-04-26 00:21:01,37.1041,-113.5841,300.17,8,0,4.12
93,Prince Rupert,CA,2022-04-26 00:20:10,54.3161,-130.3201,283.2,66,0,3.6
94,Bluff,NZ,2022-04-26 00:23:39,-46.6,168.3333,284.15,75,97,10.86
95,Manturovo,RU,2022-04-26 00:23:39,58.3353,44.7619,281.72,95,100,3.41
96,Syracuse,IT,2022-04-26 00:20:38,37.0881,15.2792,287.21,68,86,1.95
97,Tazovskiy,RU,2022-04-26 00:23:05,67.4667,78.7,259.83,94,93,3.4
98,Xining,CN,2022-04-26 00:23:40,36.6167,101.7667,283.79,52,8,0.89
99,Vincennes,FR,2022-04-26 00:23:40,48.85,2.4333,282.55,81,0,3.6
100,Areia Branca,BR,2022-04-26 00:23:41,-4.9561,-37.1369,299.29,80,30,6.6
101,Kaitangata,NZ,2022-04-26 00:23:41,-46.2817,169.8464,285.5,68,75,7.04
102,Hami,CN,2022-04-26 00:23:42,42.8,93.45,288.2,33,100,6.19
103,Victoria,HK,2022-04-26 00:23:05,22.2855,114.1577,302.02,85,9,4.02
104,Moosomin,CA,2022-04-26 00:23:42,50.1333,-101.6677,270.47,67,6,3.04
105,Ilulissat,GL,2022-04-26 00:23:43,69.2167,-51.1,270.16,86,75,2.57
106,Pisco,PE,2022-04-26 00:23:43,-13.7,-76.2167,293.18,77,0,2.06
107,Ust-Ilimsk,RU,2022-04-26 00:23:43,58.0006,102.6619,272.64,93,100,3.58
108,Carnarvon,AU,2022-04-26 00:23:44,-24.8667,113.6333,295.19,94,75,4.63
109,Champasak,LA,2022-04-26 00:23:44,14.75,106.0,300.64,92,100,1.15
110,Gorin,RU,2022-04-26 00:23:45,51.1983,136.6669,273.45,87,100,2.95
111,Isangel,VU,2022-04-26 00:23:45,-19.55,169.2667,299.31,64,94,8.04
112,Obo,CF,2022-04-26 00:23:45,5.3998,26.4869,293.1,93,87,0.89
113,Pevek,RU,2022-04-26 00:23:14,69.7008,170.3133,270.34,71,100,1.47
114,Kuala Selangor,MY,2022-04-26 00:23:46,3.35,101.25,299.26,84,97,2.07
115,Garden City,US,2022-04-26 00:23:46,42.3256,-83.331,287.29,59,75,6.17
116,Butaritari,KI,2022-04-26 00:23:05,3.0707,172.7902,300.03,83,35,5.56
117,Jibuti,DJ,2022-04-26 00:23:47,11.5,42.5,297.76,80,58,4.83
118,La Ronge,CA,2022-04-26 00:23:48,55.1001,-105.2842,277.27,25,0,5.66
119,Puerto Escondido,MX,2022-04-26 00:23:48,15.85,-97.0667,301.61,69,75,4.12
120,Simoes,BR,2022-04-26 00:23:48,-7.5989,-40.8178,296.35,67,9,3.48
121,Christchurch,NZ,2022-04-26 00:23:14,-43.5333,172.6333,290.05,76,20,4.63
122,San Carlos De Bariloche,AR,2022-04-26 00:23:49,-41.1456,-71.3082,278.01,81,75,7.72
123,Leningradskiy,RU,2022-04-26 00:23:49,69.3833,178.4167,266.22,91,73,5.94
124,Hermanus,ZA,2022-04-26 00:23:50,-34.4187,19.2345,286.66,74,1,2.8
125,Cooma,AU,2022-04-26 00:23:50,-36.2333,149.1333,284.02,100,100,4.12
126,Tuktoyaktuk,CA,2022-04-26 00:23:06,69.4541,-133.0374,267.15,86,20,4.63
127,Grand Gaube,MU,2022-04-26 00:23:51,-20.0064,57.6608,296.37,82,19,3.13
128,Palaikastron,GR,2022-04-26 00:23:51,35.2,26.25,290.08,65,35,1.59
129,Lebu,CL,2022-04-26 00:23:51,-37.6167,-73.65,286.06,79,98,11.49
130,Agadez,NE,2022-04-26 00:23:52,19.75,10.25,301.98,9,0,2.59
131,Jinchang,CN,2022-04-26 00:23:52,38.4953,102.1739,284.26,35,3,4.45
132,Itacoatiara,BR,2022-04-26 00:23:53,-3.1431,-58.4442,297.49,94,93,1.4
133,Nome,US,2022-04-26 00:23:53,64.5011,-165.4064,276.57,75,100,2.57
134,Talnakh,RU,2022-04-26 00:23:54,69.4865,88.3972,256.04,96,100,3.09
135,Cape Town,ZA,2022-04-26 00:23:54,-33.9258,18.4232,289.21,71,0,5.81
136,Port Hardy,CA,2022-04-26 00:23:54,50.6996,-127.4199,282.25,66,75,6.17
137,Coihaique,CL,2022-04-26 00:22:06,-45.5752,-72.0662,278.49,93,100,2.06
138,Tura,IN,2022-04-26 00:24:55,25.5198,90.2201,295.55,86,0,2.35
139,Mehamn,NO,2022-04-26 00:24:55,71.0357,27.8492,267.79,78,92,11.52
140,Chuy,UY,2022-04-26 00:23:07,-33.6971,-53.4616,292.29,98,100,1.93
141,Gari,RU,2022-04-26 00:24:56,59.4307,62.3497,276.09,94,14,1.86
142,Arman,RU,2022-04-26 00:24:56,59.7,150.1667,274.83,56,100,4.53
143,Bengkulu,ID,2022-04-26 00:24:57,-3.8004,102.2655,297.76,85,100,1.67
144,Road Town,VG,2022-04-26 00:24:57,18.4167,-64.6167,298.2,70,7,5.93
145,Souillac,MU,2022-04-26 00:24:57,-20.5167,57.5167,296.36,88,75,2.57
146,Ust-Kuyga,RU,2022-04-26 00:24:58,70.0167,135.6,258.96,89,98,0.25
147,Zhigansk,RU,2022-04-26 00:24:58,66.7697,123.3711,263.91,87,93,1.4
148,Tezu,IN,2022-04-26 00:24:59,27.9167,96.1667,293.09,64,66,2.03
149,Andros Town,BS,2022-04-26 00:24:59,24.7,-77.7667,297.13,71,19,8.07
150,Aksarka,RU,2022-04-26 00:24:59,66.5606,67.7975,262.78,98,78,1.95
151,Solnechnyy,RU,2022-04-26 00:25:00,50.7214,136.6319,272.68,86,100,3.03
152,Anadyr,RU,2022-04-26 00:25:00,64.75,177.4833,271.43,74,40,11.0
153,Saldanha,ZA,2022-04-26 00:25:01,-33.0117,17.9442,283.18,78,22,4.96
154,Ahome,MX,2022-04-26 00:22:22,25.9167,-109.1833,303.12,34,0,5.6
155,Castro,BR,2022-04-26 00:25:02,-24.7911,-50.0119,289.04,86,2,1.05
156,Samarai,PG,2022-04-26 00:25:02,-10.6167,150.6667,302.67,70,54,5.62
157,Nanning,CN,2022-04-26 00:25:03,22.8167,108.3167,297.4,85,11,5.73
158,Coos Bay,US,2022-04-26 00:25:03,43.3665,-124.2179,287.59,84,100,4.63
159,Saint-Philippe,RE,2022-04-26 00:25:04,-21.3585,55.7679,294.92,75,69,4.85
160,Juneau,US,2022-04-26 00:21:25,58.3019,-134.4197,281.6,92,100,6.17
161,Yellowknife,CA,2022-04-26 00:25:04,62.456,-114.3525,280.44,45,40,6.17
162,Zdvinsk,RU,2022-04-26 00:25:05,54.7021,78.661,277.49,53,72,3.19
163,Yarensk,RU,2022-04-26 00:25:05,62.1675,49.0916,277.43,95,99,3.01
164,Kijang,KR,2022-04-26 00:22:22,35.2442,129.2139,294.0,98,100,6.07
165,Sikonge,TZ,2022-04-26 00:25:06,-5.6333,32.7667,290.78,94,90,1.71
166,Sao Joao Do Piaui,BR,2022-04-26 00:25:07,-8.3581,-42.2467,301.37,46,16,3.82
167,Urumqi,CN,2022-04-26 00:25:07,43.801,87.6005,281.68,81,0,2.0
168,Yankton,US,2022-04-26 00:25:08,42.8711,-97.3973,285.44,31,0,6.69
169,Wadi,IN,2022-04-26 00:25:09,17.0667,76.9833,305.53,31,94,2.8
170,Mackay,AU,2022-04-26 00:25:09,-21.15,149.2,298.14,88,75,4.12
171,Constitucion,CL,2022-04-26 00:25:10,-35.3333,-72.4167,285.61,94,100,5.27
172,Bouloupari,NC,2022-04-26 00:25:11,-21.8667,166.05,299.1,54,96,3.46
173,Senneterre,CA,2022-04-26 00:25:11,48.3835,-77.2328,281.13,96,100,2.11
174,Campo Gobierno,MX,2022-04-26 00:25:12,24.6536,-107.5411,305.77,28,0,6.17
175,Cabo San Lucas,MX,2022-04-26 00:25:12,22.8909,-109.9124,301.32,41,0,2.57
176,Novoagansk,RU,2022-04-26 00:25:13,61.9449,76.6625,269.87,96,100,2.93
177,Cidreira,BR,2022-04-26 00:25:14,-30.1811,-50.2056,294.96,89,95,2.51
178,Tasiilaq,GL,2022-04-26 00:25:14,65.6145,-37.6368,272.24,97,100,3.21
179,Haifa,IL,2022-04-26 00:24:17,32.8156,34.9892,291.58,87,0,1.74
180,Laguna,US,2022-04-26 00:25:15,38.421,-121.4238,301.51,28,0,4.63
181,Ancud,CL,2022-04-26 00:26:16,-41.8697,-73.8203,283.83,84,100,8.89
182,Honningsvag,NO,2022-04-26 00:26:16,70.9821,25.9704,269.01,50,75,11.83
183,Pinczow,PL,2022-04-26 00:26:17,50.5205,20.5265,281.4,94,100,3.67
184,Koungou,YT,2022-04-26 00:22:05,-12.7336,45.2042,299.99,89,0,2.06
185,Norman Wells,CA,2022-04-26 00:26:18,65.282,-126.8329,280.17,57,75,4.63
186,La Palma,US,2022-04-26 00:26:18,33.8464,-118.0467,305.88,20,40,6.17
187,Najran,SA,2022-04-26 00:26:19,17.4924,44.1277,292.51,62,1,3.2
